price,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date
299900,3,3,2.1,New York,12962,2362,
349000,3,3,0.5,New York,12979,2680,42724
159900,3,1,0.52,New York,12979,1138,
179900,3,1,1.2,New York,12921,1490,
159900,3,2,1.3,New York,12901,1890,40905
75000,3,2,0.25,New York,12901,1064,34767
144900,3,2,0.62,New York,12901,1146,
99000,3,2,0.69,New York,12992,1352,35396
175000,3,1,0.16,New York,12972,1310,36503
204000,3,2,1.1,New York,12992,1431,43794
179000,3,2,0.25,New York,12992,1648,
269900,3,2,2.64,New York,12836,1782,
198000,3,1,16,New York,12928,1120,
93500,3,2,1.79,New York,12861,900,
279900,3,1,7.32,New York,12861,1200,44082
129900,3,1,1.1,New York,12855,712,43010
174900,3,2,1,New York,12870,1404,
629000,3,3,,New York,12841,2207,39581
691000,3,3,1.82,New York,12603,2923,
2499000,3,2,0.58,New York,11957,,37033
795000,3,2,0.4,New York,11944,1800,34526
1999000,3,2,1.04,New York,11952,,
3250000,3,1,9.16,New York,11971,1500,
1099999,3,2,0.14,New York,11944,,35487
799000,3,3,0.51,New York,11971,,39834
679990,3,2,0.08,New York,11944,,
1899000,3,2,0.68,New York,11944,,30091
779000,3,2,0.17,New York,11944,1050,31043
389000,3,3,0.04,New York,12564,2563,38552
549999,3,3,1.41,New York,10509,2330,
1925000,3,3,30,New York,10509,18600,35844
339000,3,3,1.24,New York,12564,1748,36648
1480000,3,2,173.53,New York,12563,5849,
289900,3,1,0.23,New York,12563,1098,43040
390000,3,2,1.3,New York,12578,1336,43042
1056400,3,3,6.03,New York,10509,2818,40585
425000,3,3,1.37,New York,12540,1750,41092
470000,3,3,0.74,New York,12564,1976,34684
1200000,3,2,18.59,New York,12514,1680,
995000,3,3,60.6,New York,12578,4056,
399000,3,3,0.21,New York,12570,1920,
450000,3,2,1.21,New York,12563,,
550000,3,2,1.04,New York,12570,2810,
375000,3,2,0.36,New York,12564,1386,34333
1650000,3,5,11.41,New York,12563,4295,33652
699000,3,2,15.24,New York,12585,1050,34697
539000,3,3,0.9,New York,12564,2256,
225000,3,1,3.57,New York,12594,1008,
225000,3,2,2.65,New York,12594,816,41185
475000,3,3,1.04,New York,12564,2314,37378
889000,3,3,7.55,New York,12580,4978,37818
560000,3,4,1.09,New York,12570,3230,36207
375000,3,2,0.33,New York,12564,1160,
459000,3,4,0.22,New York,12564,1991,39006
499900,3,3,5.54,New York,12564,1700,
550000,3,2,1.43,New York,10509,2566,35705
439999,3,2,2.34,New York,12570,1444,41544
725000,3,2,5.16,New York,12578,2792,29388
775000,3,2,13.92,New York,12594,4160,35621
525000,3,4,1.52,New York,12564,3500,35877
529900,3,2,0.48,New York,10509,1859,39678
400000,3,3,0.29,New York,10509,2250,30566
1475000,3,4,5.46,New York,12545,4427,36874
1295000,3,3,20,New York,12570,2900,37946
325000,3,2,0.34,New York,10509,1856,39336
680000,3,3,5.16,New York,12545,2448,43557
575000,3,3,4.5,New York,10509,2760,41409
639900,3,3,1.06,New York,10509,2765,33619
775000,3,2,8.3,New York,12531,1546,
450000,3,2,10.5,New York,12570,1896,39666
599000,3,4,1.1,New York,10509,3351,38891
1095000,3,4,2.51,New York,12570,4285,35314
739000,3,3,3.05,New York,10509,2419,37844
515000,3,2,3.28,New York,12570,2060,
1125000,3,3,8.94,New York,12545,4748,
519000,3,2,1.63,New York,10509,2048,42003
495000,3,2,3.53,New York,10509,1616,43266
359900,3,2,0.74,New York,12570,1700,43495
549000,3,3,1.13,New York,12540,2292,29047
398000,3,2,1.81,New York,12585,2100,
425000,3,3,1.22,New York,12540,1920,31762
325000,3,1,1.06,New York,12564,1047,30621
649000,3,4,5.58,New York,12563,3070,31181
409999,3,3,0.17,New York,12564,2130,43255
447000,3,2,0.8,New York,10509,1810,35685
375000,3,2,1.58,New York,10509,,43910
299000,3,2,0.59,New York,10512,805,
515000,3,3,0.65,New York,12570,2709,36095
429900,3,2,0.54,New York,11786,,
425000,3,2,0.33,New York,11727,1085,36335
449000,3,2,0.25,New York,11755,,44459
299999,3,2,0.27,New York,11778,,38749
459000,3,3,2.03,New York,12582,2746,36805
289900,3,2,0.47,New York,10512,2288,36685
350000,3,1,0.67,New York,12533,1465,43123
430000,3,2,0.45,New York,10512,1876,39072
275000,3,1,0.31,New York,12533,1056,
550000,3,2,1.38,New York,10541,2196,38013
405930,3,3,,New York,12570,1822,39615
